Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
3432,DALEM,-3.286,UN,1.00,UN,True,1.00,51.00
3433,DALEM,-3.286,UN,0.80,UN,True,0.80,51.80
3434,DALEM,-3.286,UN,0.60,UN,True,0.60,52.40
3435,DALEM,-3.651,UN,0.40,OV,False,-0.40,52.00
3436,DALEM,-3.286,UN,0.60,OV,False,-0.60,51.40
3437,DALEM,-2.921,UN,0.80,UN,True,0.80,52.20
3438,DALEM,-2.921,UN,0.60,UN,True,0.60,52.80
3439,DALEM,-2.921,UN,0.40,UN,True,0.40,53.20
3440,DALEM,-2.921,UN,0.20,UN,True,0.20,53.40
3446,DALEM,-3.286,UN,1.00,UN,True,1.00,54.40
3447,DALEM,-3.286,UN,0.80,OV,False,-0.80,53.60
3448,DALEM,-3.286,UN,1.00,OV,False,-1.00,52.60
3449,DALEM,-2.921,UN,1.20,OV,False,-1.20,51.40
3450,DALEM,-2.556,UN,1.40,UN,True,1.40,52.80
3451,DALEM,-2.556,UN,1.20,OV,False,-1.20,51.60
3452,DALEM,-2.191,UN,1.40,OV,False,-1.40,50.20
3453,DALEM,-1.826,UN,1.60,OV,False,-1.60,48.60
3454,DALEM,-1.826,UN,1.80,UN,True,1.80,50.40
3455,DALEM,-1.826,UN,1.60,OV,False,-1.60,48.80
3456,DALEM,-1.461,UN,1.80,UN,True,1.80,50.60
3457,DALEM,-1.826,UN,1.60,UN,True,1.60,52.20
3458,DALEM,-1.826,UN,1.40,UN,True,1.40,53.60
3459,DALEM,-1.826,UN,1.20,OV,False,-1.20,52.40
3460,DALEM,-1.461,UN,1.40,UN,True,1.40,53.80
3461,DALEM,-1.461,UN,1.20,OV,False,-1.20,52.60
3462,DALEM,-1.095,UN,1.40,OV,False,-1.40,51.20
3463,DALEM,-0.730,UN,1.60,UN,True,1.60,52.80
3464,DALEM,-0.730,UN,1.40,OV,False,-1.40,51.40
3465,DALEM,-0.365,UN,1.60,UN,True,1.60,53.00
3466,DALEM,-0.730,UN,1.40,UN,True,1.40,54.40
3467,DALEM,-1.095,UN,1.20,UN,True,1.20,55.60
3468,DALEM,-1.095,UN,1.00,UN,True,1.00,56.60
3469,DALEM,-1.095,UN,0.80,UN,True,0.80,57.40
3470,DALEM,-1.095,UN,0.60,UN,True,0.60,58.00
3471,DALEM,-1.095,UN,0.40,OV,False,-0.40,57.60
3472,DALEM,-0.730,UN,0.60,OV,False,-0.60,57.00
3473,DALEM,-0.730,UN,0.80,UN,True,0.80,57.80
3474,DALEM,-0.730,UN,0.60,OV,False,-0.60,57.20
3475,DALEM,-0.365,UN,0.80,OV,False,-0.80,56.40
3476,DALEM,0.000,UN,1.00,OV,False,-1.00,55.40
3477,DALEM,0.365,UN,1.20,OV,False,-1.20,54.20
3478,DALEM,0.365,UN,1.40,OV,False,-1.40,52.80
3479,DALEM,0.365,UN,1.60,UN,True,1.60,54.40
3480,DALEM,0.000,UN,1.40,OV,False,-1.40,53.00
3481,DALEM,0.365,UN,1.60,UN,True,1.60,54.60
3482,DALEM,0.000,UN,1.40,UN,True,1.40,56.00
3483,DALEM,-0.365,UN,1.20,UN,True,1.20,57.20
3484,DALEM,-0.730,UN,1.00,UN,True,1.00,58.20
3485,DALEM,-0.730,UN,0.80,UN,True,0.80,59.00
3486,DALEM,-1.095,UN,0.60,UN,True,0.60,59.60
3487,DALEM,-1.095,UN,0.40,OV,False,-0.40,59.20
